category,location_name,coordinate_id,x,y,z,coordinates,source_url
All Other Locations,Trade Plaza,1,535.0,82.0,775.0,"535.0, 82.0, 775.0",https://fischipedia.org/wiki/Trade_Plaza
All Other Locations,Whale Interior,1,-300.0,83.0,-380.0,"-300.0, 83.0, -380.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Whale Interior,2,-30.0,-1350.0,-2160.0,"-30.0, -1350.0, -2160.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Whale Interior,3,-357.0,96.0,-277.0,"-357.0, 96.0, -277.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Whale Interior,4,-387.0,80.0,-387.0,"-387.0, 80.0, -387.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Whale Interior,5,-50.0,-1350.0,-2170.0,"-50.0, -1350.0, -2170.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Whale Interior,6,-317.0,85.0,-420.0,"-317.0, 85.0, -420.0",https://fischipedia.org/wiki/Whale_Interior
All Other Locations,Lobster Shores,1,-550.0,150.0,2640.0,"-550.0, 150.0, 2640.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Lobster Shores,2,-550.0,153.0,2650.0,"-550.0, 153.0, 2650.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Lobster Shores,3,-585.0,130.0,2950.0,"-585.0, 130.0, 2950.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Lobster Shores,4,-575.0,153.0,2640.0,"-575.0, 153.0, 2640.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Lobster Shores,5,-570.0,153.0,2640.0,"-570.0, 153.0, 2640.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Lobster Shores,6,-565.0,153.0,2640.0,"-565.0, 153.0, 2640.0",https://fischipedia.org/wiki/Lobster_Shores
All Other Locations,Netter's Haven,1,-640.0,85.0,1030.0,"-640.0, 85.0, 1030.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Netter's Haven,2,-775.0,90.0,950.0,"-775.0, 90.0, 950.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Netter's Haven,3,-635.0,85.0,1005.0,"-635.0, 85.0, 1005.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Netter's Haven,4,-630.0,85.0,1005.0,"-630.0, 85.0, 1005.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Netter's Haven,5,-610.0,85.0,1005.0,"-610.0, 85.0, 1005.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Netter's Haven,6,-575.0,85.0,1000.0,"-575.0, 85.0, 1000.0",https://fischipedia.org/wiki/Netter%27s_Haven
All Other Locations,Waveborne,1,360.0,90.0,780.0,"360.0, 90.0, 780.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,2,400.0,85.0,737.0,"400.0, 85.0, 737.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,3,55.0,160.0,833.0,"55.0, 160.0, 833.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,4,165.0,115.0,730.0,"165.0, 115.0, 730.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,5,165.0,115.0,720.0,"165.0, 115.0, 720.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,6,223.0,120.0,815.0,"223.0, 120.0, 815.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Waveborne,7,405.0,85.0,862.0,"405.0, 85.0, 862.0",https://fischipedia.org/wiki/Waveborne
All Other Locations,Isle of New Beginnings,1,-300.0,83.0,-380.0,"-300.0, 83.0, -380.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Isle of New Beginnings,2,-30.0,-1350.0,-2160.0,"-30.0, -1350.0, -2160.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Isle of New Beginnings,3,-357.0,96.0,-277.0,"-357.0, 96.0, -277.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Isle of New Beginnings,4,-387.0,80.0,-387.0,"-387.0, 80.0, -387.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Isle of New Beginnings,5,-50.0,-1350.0,-2170.0,"-50.0, -1350.0, -2170.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Isle of New Beginnings,6,-317.0,85.0,-420.0,"-317.0, 85.0, -420.0",https://fischipedia.org/wiki/Isle_of_New_Beginnings
All Other Locations,Lushgrove,1,1133.0,105.0,-560.0,"1133.0, 105.0, -560.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,2,1260.0,-625.0,-1070.0,"1260.0, -625.0, -1070.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,3,1310.0,130.0,-945.0,"1310.0, 130.0, -945.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,4,1505.0,165.0,-665.0,"1505.0, 165.0, -665.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,5,1410.0,155.0,-580.0,"1410.0, 155.0, -580.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,6,1355.0,110.0,-615.0,"1355.0, 110.0, -615.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,7,1170.0,115.0,-750.0,"1170.0, 115.0, -750.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,8,1020.0,130.0,-705.0,"1020.0, 130.0, -705.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,9,1275.0,-625.0,-1060.0,"1275.0, -625.0, -1060.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Lushgrove,10,1300.0,155.0,-550.0,"1300.0, 155.0, -550.0",https://fischipedia.org/wiki/Lushgrove
All Other Locations,Emberreach,1,2390.0,83.0,-490.0,"2390.0, 83.0, -490.0",https://fischipedia.org/wiki/Emberreach
All Other Locations,Emberreach,2,2870.0,165.0,520.0,"2870.0, 165.0, 520.0",https://fischipedia.org/wiki/Emberreach
All Other Locations,Azure Lagoon,1,1310.0,80.0,2113.0,"1310.0, 80.0, 2113.0",https://fischipedia.org/wiki/Azure_Lagoon
All Other Locations,Azure Lagoon,2,1287.0,90.0,2285.0,"1287.0, 90.0, 2285.0",https://fischipedia.org/wiki/Azure_Lagoon
All Other Locations,The Cursed Shores,1,-235.0,85.0,1930.0,"-235.0, 85.0, 1930.0",https://fischipedia.org/wiki/The_Cursed_Shores
All Other Locations,The Cursed Shores,2,-185.0,-370.0,2280.0,"-185.0, -370.0, 2280.0",https://fischipedia.org/wiki/The_Cursed_Shores
All Other Locations,The Cursed Shores,3,-435.0,-40.0,1665.0,"-435.0, -40.0, 1665.0",https://fischipedia.org/wiki/The_Cursed_Shores
All Other Locations,The Cursed Shores,4,-493.0,137.0,2240.0,"-493.0, 137.0, 2240.0",https://fischipedia.org/wiki/The_Cursed_Shores
All Other Locations,The Cursed Shores,5,-210.0,-360.0,2383.0,"-210.0, -360.0, 2383.0",https://fischipedia.org/wiki/The_Cursed_Shores
All Other Locations,Pine Shoals,1,1165.0,80.0,480.0,"1165.0, 80.0, 480.0",https://fischipedia.org/wiki/Pine_Shoals
All Other Locations,Cults Curse,1,7.0,100.0,0.0,"7.0, 100.0, 0.0",https://fischipedia.org/wiki/Cults_Curse
All Other Locations,Cults Curse,2,35.0,700.0,0.0,"35.0, 700.0, 0.0",https://fischipedia.org/wiki/Cults_Curse
All Other Locations,Cults Curse,3,142.0,800.0,0.0,"142.0, 800.0, 0.0",https://fischipedia.org/wiki/Cults_Curse
All Other Locations,Cults Curse,4,285.0,700.0,0.0,"285.0, 700.0, 0.0",https://fischipedia.org/wiki/Cults_Curse
All Other Locations,Cults Curse,5,500.0,0.0,0.0,"500.0, 0.0, 0.0",https://fischipedia.org/wiki/Cults_Curse
All Other Locations,Version 1.23.0.1,1,7.0,100.0,0.0,"7.0, 100.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0.1
All Other Locations,Version 1.23.0.1,2,35.0,700.0,0.0,"35.0, 700.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0.1
All Other Locations,Version 1.23.0.1,3,142.0,800.0,0.0,"142.0, 800.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0.1
All Other Locations,Version 1.23.0.1,4,285.0,700.0,0.0,"285.0, 700.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0.1
All Other Locations,Version 1.23.0.1,5,500.0,0.0,0.0,"500.0, 0.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0.1
All Other Locations,Version 1.23.0,1,7.0,100.0,0.0,"7.0, 100.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0
All Other Locations,Version 1.23.0,2,35.0,700.0,0.0,"35.0, 700.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0
All Other Locations,Version 1.23.0,3,142.0,800.0,0.0,"142.0, 800.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0
All Other Locations,Version 1.23.0,4,285.0,700.0,0.0,"285.0, 700.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0
All Other Locations,Version 1.23.0,5,500.0,0.0,0.0,"500.0, 0.0, 0.0",https://fischipedia.org/wiki/Version_1.23.0
All Other Locations,Mariana's Veil,1,1500.0,125.0,530.0,"1500.0, 125.0, 530.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,2,-1305.0,130.0,310.0,"-1305.0, 130.0, 310.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,3,-3175.0,-2035.0,4020.0,"-3175.0, -2035.0, 4020.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,4,740.0,-3355.0,-1530.0,"740.0, -3355.0, -1530.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,5,-1480.0,137.0,382.0,"-1480.0, 137.0, 382.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,6,-3365.0,-2260.0,3850.0,"-3365.0, -2260.0, 3850.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,7,-760.0,-3280.0,-715.0,"-760.0, -3280.0, -715.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,8,-800.0,-3280.0,-625.0,"-800.0, -3280.0, -625.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,9,-3180.0,-2035.0,4020.0,"-3180.0, -2035.0, 4020.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,10,2.0,500.0,0.0,"2.0, 500.0, 0.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,11,10.0,0.0,0.0,"10.0, 0.0, 0.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,12,15.0,0.0,0.0,"15.0, 0.0, 0.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,Mariana's Veil,13,1.0,0.0,0.0,"1.0, 0.0, 0.0",https://fischipedia.org/wiki/Mariana%27s_Veil
All Other Locations,The Laboratory,1,-1785.0,130.0,-485.0,"-1785.0, 130.0, -485.0",https://fischipedia.org/wiki/The_Laboratory
All Other Locations,Atlantis,1,-4300.0,-580.0,1800.0,"-4300.0, -580.0, 1800.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,2,-2522.0,138.0,1593.0,"-2522.0, 138.0, 1593.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,3,-2551.0,150.0,1667.0,"-2551.0, 150.0, 1667.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,4,-2729.0,168.0,1730.0,"-2729.0, 168.0, 1730.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,5,-2881.0,317.0,1607.0,"-2881.0, 317.0, 1607.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,6,-2835.0,131.0,1510.0,"-2835.0, 131.0, 1510.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,7,-3576.0,148.0,524.0,"-3576.0, 148.0, 524.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,8,-4606.0,-594.0,1843.0,"-4606.0, -594.0, 1843.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,9,-5167.0,-680.0,1710.0,"-5167.0, -680.0, 1710.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,10,-4107.0,-603.0,1823.0,"-4107.0, -603.0, 1823.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,11,-4299.0,-604.0,1587.0,"-4299.0, -604.0, 1587.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,12,-4295.0,-583.0,2021.0,"-4295.0, -583.0, 2021.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,13,-4295.0,-991.0,1792.0,"-4295.0, -991.0, 1792.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,14,-4465.0,-604.0,1874.0,"-4465.0, -604.0, 1874.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,15,-4277.0,-606.0,1838.0,"-4277.0, -606.0, 1838.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,16,1.0,850.0,0.0,"1.0, 850.0, 0.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,17,-4928.0,-595.0,1857.0,"-4928.0, -595.0, 1857.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,18,1.0,0.0,0.0,"1.0, 0.0, 0.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,19,-3804.0,-567.0,1870.0,"-3804.0, -567.0, 1870.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,20,1.0,555.0,555.0,"1.0, 555.0, 555.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,21,-4086.0,-559.0,895.0,"-4086.0, -559.0, 895.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,22,2.0,700.0,0.0,"2.0, 700.0, 0.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,23,-4272.0,-629.0,2665.0,"-4272.0, -629.0, 2665.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,24,1.0,333.0,333.0,"1.0, 333.0, 333.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,25,-4415.0,-997.0,2055.0,"-4415.0, -997.0, 2055.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,26,1.0,500.0,0.0,"1.0, 500.0, 0.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,27,-3953.0,-556.0,853.0,"-3953.0, -556.0, 853.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,28,-4325.0,-630.0,2687.0,"-4325.0, -630.0, 2687.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,29,-177.0,144.0,1933.0,"-177.0, 144.0, 1933.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,30,-4462.0,-605.0,1875.0,"-4462.0, -605.0, 1875.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,31,-4463.0,-603.0,1876.0,"-4463.0, -603.0, 1876.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,32,-4452.0,-603.0,1877.0,"-4452.0, -603.0, 1877.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,33,-4450.0,-605.0,1874.0,"-4450.0, -605.0, 1874.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantis,34,-4446.0,-605.0,1866.0,"-4446.0, -605.0, 1866.0",https://fischipedia.org/wiki/Atlantis
All Other Locations,Atlantean Storm,1,-3530.0,130.0,550.0,"-3530.0, 130.0, 550.0",https://fischipedia.org/wiki/Atlantean_Storm
All Other Locations,Atlantean Storm,2,-3820.0,135.0,575.0,"-3820.0, 135.0, 575.0",https://fischipedia.org/wiki/Atlantean_Storm
All Other Locations,Grand Reef,1,-3530.0,130.0,550.0,"-3530.0, 130.0, 550.0",https://fischipedia.org/wiki/Grand_Reef
All Other Locations,Grand Reef,2,-3820.0,135.0,575.0,"-3820.0, 135.0, 575.0",https://fischipedia.org/wiki/Grand_Reef
All Other Locations,Winter Village,1,5815.0,145.0,270.0,"5815.0, 145.0, 270.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,2,-2490.0,135.0,1470.0,"-2490.0, 135.0, 1470.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,3,400.0,135.0,305.0,"400.0, 135.0, 305.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,4,2410.0,135.0,-730.0,"2410.0, 135.0, -730.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,5,-1920.0,500.0,160.0,"-1920.0, 500.0, 160.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,6,2640.0,140.0,2425.0,"2640.0, 140.0, 2425.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,7,45.0,140.0,-1030.0,"45.0, 140.0, -1030.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,8,-890.0,135.0,-1110.0,"-890.0, 135.0, -1110.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,9,-160.0,140.0,1895.0,"-160.0, 140.0, 1895.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,10,-190.0,370.0,-9445.0,"-190.0, 370.0, -9445.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Winter Village,11,-15.0,365.0,-9590.0,"-15.0, 365.0, -9590.0",https://fischipedia.org/wiki/Winter_Village
All Other Locations,Northern Expedition,1,400.0,135.0,265.0,"400.0, 135.0, 265.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,2,5506.0,147.0,-315.0,"5506.0, 147.0, -315.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,3,2930.0,281.0,2594.0,"2930.0, 281.0, 2594.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,4,-1715.0,149.0,737.0,"-1715.0, 149.0, 737.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,5,-2566.0,181.0,1353.0,"-2566.0, 181.0, 1353.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,6,-1750.0,130.0,3750.0,"-1750.0, 130.0, 3750.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,7,2.0,750.0,0.0,"2.0, 750.0, 0.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Northern Expedition,8,1.0,500.0,0.0,"1.0, 500.0, 0.0",https://fischipedia.org/wiki/Northern_Expedition
All Other Locations,Ancient Isle,1,5833.0,125.0,401.0,"5833.0, 125.0, 401.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Isle,2,5870.0,160.0,415.0,"5870.0, 160.0, 415.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Isle,3,5487.0,143.0,-316.0,"5487.0, 143.0, -316.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Isle,4,5966.0,274.0,846.0,"5966.0, 274.0, 846.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Isle,5,6075.0,195.0,260.0,"6075.0, 195.0, 260.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Isle,6,6000.0,230.0,591.0,"6000.0, 230.0, 591.0",https://fischipedia.org/wiki/Ancient_Isle
All Other Locations,Ancient Archives,1,5833.0,125.0,401.0,"5833.0, 125.0, 401.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Ancient Archives,2,5870.0,160.0,415.0,"5870.0, 160.0, 415.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Ancient Archives,3,5487.0,143.0,-316.0,"5487.0, 143.0, -316.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Ancient Archives,4,5966.0,274.0,846.0,"5966.0, 274.0, 846.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Ancient Archives,5,6075.0,195.0,260.0,"6075.0, 195.0, 260.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Ancient Archives,6,6000.0,230.0,591.0,"6000.0, 230.0, 591.0",https://fischipedia.org/wiki/Ancient_Archives
All Other Locations,Archaeological Site,1,4160.0,125.0,210.0,"4160.0, 125.0, 210.0",https://fischipedia.org/wiki/Archaeological_Site
All Other Locations,The Depths,1,472.0,-706.0,1231.0,"472.0, -706.0, 1231.0",https://fischipedia.org/wiki/The_Depths
All Other Locations,The Depths,2,1210.0,-715.0,1315.0,"1210.0, -715.0, 1315.0",https://fischipedia.org/wiki/The_Depths
All Other Locations,The Depths,3,1705.0,-900.0,1445.0,"1705.0, -900.0, 1445.0",https://fischipedia.org/wiki/The_Depths
All Other Locations,The Depths,4,-970.0,-710.0,1300.0,"-970.0, -710.0, 1300.0",https://fischipedia.org/wiki/The_Depths
All Other Locations,Forsaken Shores,1,-2425.0,135.0,1555.0,"-2425.0, 135.0, 1555.0",https://fischipedia.org/wiki/Forsaken_Shores
All Other Locations,Forsaken Shores,2,-3600.0,125.0,1605.0,"-3600.0, 125.0, 1605.0",https://fischipedia.org/wiki/Forsaken_Shores
All Other Locations,Forsaken Shores,3,-2830.0,215.0,1510.0,"-2830.0, 215.0, 1510.0",https://fischipedia.org/wiki/Forsaken_Shores
All Other Locations,Forsaken Shores,4,-2490.0,130.0,1535.0,"-2490.0, 130.0, 1535.0",https://fischipedia.org/wiki/Forsaken_Shores
All Other Locations,Forsaken Shores,5,-2525.0,135.0,-1575.0,"-2525.0, 135.0, -1575.0",https://fischipedia.org/wiki/Forsaken_Shores
All Other Locations,Desolate Deep,1,-790.0,125.0,-3100.0,"-790.0, 125.0, -3100.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,2,-1710.0,-235.0,-3075.0,"-1710.0, -235.0, -3075.0",https://fischipedia.org/wiki/Desolate_Deep
All Other Locations,Desolate Deep,3,-1725.0,-175.0,-3125.0,"-1725.0, -175.0, -3125.0",https://fischipedia.org/wiki/Desolate_Deep
